ADBE	192	109273
AKAM	89	347474	
ALTR	87	633346
AAPL	155	747733
AMAT	4	646462
ADSK	100	100342
BEAS	67	868694
BRCM	89	477442
CDNS	32	244234
CDWC	45	323213
CHKP	98	434242
CSCO	25	232323
CTXS	89	234234
CTSH	32	685684
DELL	16	434322	
GOOG	390	333435
INFY	167	899921
INTC	45	119292
INTU	34	233242
JNPR	13	223234
KLAC	27	222111
LRCX	89	119111
LLTC	67	101010
ERIC	110	928238
LOGI	130	163633
MRVL	32	263632
MXIM	6	100000
MCHP	98	122212
MSFT	76	232323
NTAP	34	242341
NVDA	23	654743
ORCL	56	893487
QCOM	21	213457
RIMM	92	442212
SNDK	87	427647
SUNW	67	373272
SYMC	12	235300
TLAB	9	424244
VRSN	12	311233
XLNX	50	323232
YHOO	58	221233
