CHKP	98	434242
CTXS	89	234234
DELL	16	434322	
BEAS	67	868694
INFY	167	899921
CDNS	32	244234
INTC	45	119292
CDWC	45	323213
INTU	34	233242
ADBE	192	109273
JNPR	13	223234
AMAT	4	646462
KLAC	27	222111
LLTC	67	101010
ERIC	110	928238
LOGI	130	163633
MRVL	32	263632
CSCO	25	232323
MCHP	98	122212
CTSH	32	685684
MSFT	76	232323
NTAP	34	242341
ALTR	87	633346
NVDA	23	654743
ORCL	56	893487
GOOG	390	333435
QCOM	21	213457
RIMM	92	442212
SNDK	87	427647
MXIM	6	100000
SUNW	67	373272
AAPL	155	747733
SYMC	12	235300
TLAB	9	424244
VRSN	12	311233
LRCX	89	119111
BRCM	89	477442
XLNX	50	323232
ADSK	100	100342
YHOO	58	221233
AKAM	89	347474	
